projectId,projectName,gmailAccount,clientId,clientSecret,apiKey
proj-001,Gmail1-ProjectA,user1@gmail.com,xxx.apps.googleusercontent.com,GOCSPX-xxx,AIzaSy-xxx
proj-002,Gmail1-ProjectB,user1@gmail.com,yyy.apps.googleusercontent.com,GOCSPX-yyy,AIzaSy-yyy
proj-003,Gmail1-ProjectC,user1@gmail.com,zzz.apps.googleusercontent.com,GOCSPX-zzz,AIzaSy-zzz
proj-004,Gmail1-ProjectD,user1@gmail.com,www.apps.googleusercontent.com,GOCSPX-www,AIzaSy-www
proj-005,Gmail1-ProjectE,user1@gmail.com,vvv.apps.googleusercontent.com,GOCSPX-vvv,AIzaSy-vvv
proj-006,Gmail1-ProjectF,user1@gmail.com,uuu.apps.googleusercontent.com,GOCSPX-uuu,AIzaSy-uuu
proj-007,Gmail1-ProjectG,user1@gmail.com,ttt.apps.googleusercontent.com,GOCSPX-ttt,AIzaSy-ttt
proj-008,Gmail1-ProjectH,user1@gmail.com,sss.apps.googleusercontent.com,GOCSPX-sss,AIzaSy-sss
proj-009,Gmail1-ProjectI,user1@gmail.com,rrr.apps.googleusercontent.com,GOCSPX-rrr,AIzaSy-rrr
proj-010,Gmail1-ProjectJ,user1@gmail.com,qqq.apps.googleusercontent.com,GOCSPX-qqq,AIzaSy-qqq
proj-011,Gmail2-ProjectA,user2@gmail.com,aaa.apps.googleusercontent.com,GOCSPX-aaa,AIzaSy-aaa
proj-012,Gmail2-ProjectB,user2@gmail.com,bbb.apps.googleusercontent.com,GOCSPX-bbb,AIzaSy-bbb
proj-013,Gmail2-ProjectC,user2@gmail.com,ccc.apps.googleusercontent.com,GOCSPX-ccc,AIzaSy-ccc
proj-014,Gmail2-ProjectD,user2@gmail.com,ddd.apps.googleusercontent.com,GOCSPX-ddd,AIzaSy-ddd
proj-015,Gmail2-ProjectE,user2@gmail.com,eee.apps.googleusercontent.com,GOCSPX-eee,AIzaSy-eee
proj-016,Gmail2-ProjectF,user2@gmail.com,fff.apps.googleusercontent.com,GOCSPX-fff,AIzaSy-fff
proj-017,Gmail2-ProjectG,user2@gmail.com,ggg.apps.googleusercontent.com,GOCSPX-ggg,AIzaSy-ggg
proj-018,Gmail2-ProjectH,user2@gmail.com,hhh.apps.googleusercontent.com,GOCSPX-hhh,AIzaSy-hhh
proj-019,Gmail2-ProjectI,user2@gmail.com,iii.apps.googleusercontent.com,GOCSPX-iii,AIzaSy-iii
